Gold (OG|GC) OG1U6 (1.96 DTE) vs 4386.3 (+23.5) - Open Interest
Put: 4,910  Call: 5,608  Vol: 27.54  Vol Chg: -0.10  Future Chg: 23.5
Strike,Call,Put,Vol Settle
4130,0,0,0.3526447420108525
4135,0,0,0.3496085235078681
4140,0,4,0.34662483707057845
4145,0,0,0.34369453083326107
4150,1,35,0.34081842756131664
4155,0,2,0.33799732464871113
4160,0,2,0.33523199412189797
4165,0,0,0.3325231826354411
4170,0,27,0.32987161147514144
4175,1,23,0.3272779765584346
4180,0,26,0.3247429484312079
4185,0,1,0.3222671722692212
4190,0,4,0.3198512678818588
4195,0,0,0.31749582970405754
4200,0,177,0.3152014268057428
4205,0,0,0.3129686028838705
4210,0,2,0.3107978762672019
4215,0,0,0.30868973991380244
4220,0,30,0.3066446614134293
4225,0,39,0.30466308298525746
4230,0,0,0.3027454214786758
4235,0,0,0.3008920683735141
4240,0,0,0.29910338977947504
4245,0,0,0.29737972643863486
4250,0,293,0.29572139372078254
4255,0,1,0.29412868162705763
4260,0,5,0.29260185478926815
4265,0,6,0.2911411524696632
4270,2,40,0.2897467885586593
4275,8,173,0.2884189515801836
4280,0,6,0.2871578046867853
4285,0,0,0.28596348566088636
4290,0,26,0.28483610691478134
4295,0,7,0.2837757554947302
4300,5,167,0.28278249307345504
4305,0,18,0.2818563559545737
4310,1,29,0.2809973550736231
4315,0,95,0.2802054759941939
4320,0,3,0.27948067891236406
4325,1,206,0.2788228986537433
4330,0,89,0.27823204467370033
4335,0,93,0.27770800105804483
4340,3,104,0.2772506265235961
4345,0,5,0.2768597544173872
4350,31,105,0.2765351927160964
4355,12,19,0.2762767240270705
4360,10,30,0.2760841055877563
4365,9,156,0.27595706926638286
4370,16,8,0.27589532156059704
4375,55,141,0.27589854360019217
4380,14,7,0.27596639114301524
4385,4,3,0.2760984945786049
4390,102,4,0.27629445892523563
4395,1,2,0.27655386383491987
4400,123,134,0.2768762635867006
4405,22,0,0.277261187090744
4410,0,6,0.27770813788777104
4415,7,1,0.27821659414962596
4420,1,9,0.2787860086763203
4425,41,66,0.2794158089004668
4430,5,0,0.2801053968838687
4435,4,0,0.2808541493180883
4440,18,10,0.2816614175266068
4445,1,0,0.28252652746198237
4450,194,132,0.2834487797077827
4455,6,6,0.2844274494769934
4460,30,3,0.2854617866131548
4465,3,1,0.28655101559161267
4470,5,0,0.2876943355148569
4475,268,292,0.28889092011979756
4480,9,0,0.29013991776992043
4485,14,1,0.2914404514611988
4490,3,0,0.2927916188184554
4495,9,0,0.2941924920987731
4500,211,457,0.2956421181878568
4505,7,0,0.2971395186029895
4510,4,4,0.2986836894899625
4515,202,1,0.30027360162682726
4520,26,0,0.30190820042014366
4525,88,88,0.3035864059091864
4530,2,0,0.3053071127610565
4535,5,0,0.30706919027420554
4540,2,2,0.3088714823770715
4545,17,0,0.31071280762955666
4550,140,147,0.3125919592207538
4555,3,0,0.31450770497031044
4560,8,0,0.31645878732808796
4565,0,0,0.3184439233740477
4570,30,0,0.3204618048196153
4575,28,30,0.32251109800472477
4580,0,1,0.32459044390134295
4585,0,0,0.32669845811074083
4590,0,0,0.3288337308641758
4595,3,0,0.3309948270245968
4600,480,132,0.33318028608471195
4605,4,0,0.33538862216619236
4610,0,3,0.3376183240233104
4615,1,0,0.33986785503805095
4620,1,0,0.3421356532247728
4625,214,133,0.34442013122816206
4630,10,0,0.34671967632107226
4635,0,0,0.3490326504092991
4640,0,2,0.3513573900272604
4645,0,0,0.35369220634038356
4650,143,169,0.35603538514351385
4655,0,0,
