Gold (OG|GC) G2TU6 (4.09 DTE) vs 4447.2 (-57.7) - Intraday Volume
Put: 1,187  Call: 1,098  Vol: 16.18  Vol Chg: -4.59  Future Chg: -57.7
Strike,Call,Put,Vol Settle
4225,0,1,0.28262002117969587
4230,0,1,0.2798720501274943
4235,0,52,0.2771665183591949
4240,0,0,0.2745041390778056
4245,0,0,0.271885606393937
4250,0,40,0.2693115953226197
4255,0,0,0.26678276178574833
4260,0,10,0.2642997426132183
4265,0,1,0.26186315553900386
4270,0,1,0.2594735992057622
4275,0,3,0.2571316531603429
4280,0,1,0.25483787785714185
4285,0,1,0.25259281465696404
4290,0,4,0.25039698582725123
4295,0,3,0.24825089453975124
4300,0,49,0.24615502487665708
4305,0,0,0.24410984182213724
4310,0,14,0.24211579126983906
4315,1,10,0.24017330001811388
4320,0,19,0.23828277577234758
4325,0,10,0.2364446071453017
4330,0,10,0.23465916365421435
4335,0,41,0.23292679572296038
4340,0,18,0.23124783468392707
4345,0,4,0.22962259277329622
4350,0,45,0.22805136313496632
4355,0,27,0.2265344198194157
4360,0,26,0.22507201778188346
4365,0,17,0.22366439288703077
4370,0,48,0.22231176190308588
4375,1,69,0.22101432250536845
4380,0,3,0.2197722532765738
4385,0,13,0.21858571370472646
4390,0,7,0.21745484418443084
4395,0,56,0.21637976601704167
4400,13,285,0.2153605814102093
4405,2,4,0.21439737347787968
4410,2,8,0.21349020624052173
4415,1,15,0.21263912462421786
4420,0,7,0.2118441544633356
4425,34,12,0.21110530249615067
4430,4,2,0.21042255636837126
4435,43,5,0.20979588463353593
4440,24,14,0.20922523674909144
4445,2,0,0.20871054308128123
4450,141,101,0.2082517149007117
4455,40,0,0.2078486443852512
4460,10,19,0.20750120461946153
4465,74,0,0.20720924959368858
4470,3,0,0.20697261420491486
4475,9,2,0.20679111425664587
4480,3,0,0.20666454645891008
4485,31,4,0.20659268842712208
4490,5,0,0.2065752986843563
4495,26,29,0.20661211665935753
4500,107,7,0.20670286268841664
4505,132,0,0.20684723801184646
4510,11,0,0.20704492477818803
4515,6,0,0.2072955860426191
4520,10,0,0.2075988657650214
4525,8,0,0.2079543888127091
4530,20,2,0.20836176096076997
4535,1,0,0.2088205688871767
4540,5,0,0.2093303801801767
4545,31,0,0.2098907433316981
4550,26,0,0.21050118774041948
4555,1,0,0.21116122371336132
4560,1,0,0.21187034246224812
4565,3,0,0.21262801610373572
4570,9,0,0.21343369766441356
4575,15,0,0.21428682107477925
4580,5,0,0.21518680117253552
4585,0,0,0.21613303370179437
4590,2,0,0.21712489531194024
4595,6,0,0.2181617435606995
4600,105,2,0.219242916911071
4605,9,0,0.22036773473155336
4610,0,0,0.2215354972992145
4615,0,0,0.2227454857960538
4620,0,0,0.22399696231002508
4625,2,0,0.22528916983719682
4630,0,0,0.22662133227788672
4635,0,0,0.22799265444086814
4640,1,0,0.22940232204018685
4645,0,0,0.2308495016956158
4650,6,2,0.2323333409353836
4655,1,0,0.2338529681919681
4660,0,0,0.23540749280493856
4665,0,0,0.23699600502141038
4670,0,0,0.23861757599297562
4675,0,0,0.24027125777934089
4680,3,0,0.2419560833458263
