captured_at,captured_at_epoch,contract,dte,future,iv_pct,5DP,15DP,25DP,35DP,45DP,45DC,35DC,25DC,15DC,5DC
2026-09-01T01:00:25.800173+07:00,1788199225.8,G1TU6,0.98,4453.5,21.8,4362.0075,4400.5655,4420.5577,4434.3525,4447.4674,4460.9977,4474.3968,4488.6078,4509.5485,4551.9466
2026-09-01T01:06:14.778313+07:00,1788199574.778,G1TU6,0.97,4452.6,21.65,4360.301,4398.6321,4418.5031,4432.1836,4445.173,4458.5836,4471.8925,4486.0635,4507.0384,4549.5972
2026-09-01T01:12:24.078055+07:00,1788199944.078,G1TU6,0.97,4447.0,21.48,4356.3627,4394.1728,4413.7928,4427.3233,4440.1588,4453.3879,4466.5179,4480.5215,4501.2088,4542.9212
2026-09-01T01:18:23.288725+07:00,1788200303.289,G1TU6,0.97,4446.2,21.52,4356.3953,4394.1833,4413.7965,4427.3239,4440.1581,4453.3881,4466.5185,4480.5189,4501.2004,4542.9211
2026-09-01T01:24:01.393138+07:00,1788200641.393,G1TU6,0.96,4447.2,21.61,4358.1285,4395.8261,4415.3801,4428.9064,4441.7581,4455.0005,4468.1562,4482.2171,4502.9258,4544.3255
2026-09-01T01:28:45.220284+07:00,1788200925.22,G1TU6,0.96,4446.8,21.67,4357.3669,4394.5654,4414.1609,4427.7423,4440.5951,4453.8497,4467.0556,4481.1812,4502.0388,4544.1357
2026-09-01T01:34:24.642914+07:00,1788201264.643,G1TU6,0.95,4447.5,21.66,4355.2396,4392.2911,4411.7655,4425.2655,4438.0652,4451.2792,4464.4474,4478.532,4499.3302,4541.2998
2026-09-01T01:39:46.007428+07:00,1788201586.007,G1TU6,0.95,4442.8,21.86,4352.6317,4389.3538,4408.8948,4422.5312,4435.4306,4448.7125,4461.9395,4476.0362,4496.6382,4537.8702
2026-09-01T01:44:28.984822+07:00,1788201868.985,G1TU6,0.95,4442.4,21.79,4352.9449,4389.8099,4409.2596,4422.8115,4435.6591,4448.8837,4462.0252,4476.0108,4496.4427,4537.243
2026-09-01T01:49:29.082049+07:00,1788202169.082,G1TU6,0.94,4442.4,21.83,4354.5342,4390.7796,4410.0741,4423.5692,4436.3697,4449.5731,4462.7397,4476.7931,4497.3518,4538.492
2026-09-01T01:55:41.482840+07:00,1788202541.483,G1TU6,0.94,4444.0,21.65,4355.2689,4392.4206,4411.9577,4425.4571,4438.2019,4451.3199,4464.3455,4478.205,4498.624,4539.9582
2026-09-01T02:02:10.164681+07:00,1788202930.165,G1TU6,0.94,4448.4,21.7,4359.0892,4396.1353,4415.4972,4428.9049,4441.6184,4454.7188,4467.7388,4481.6301,4502.0703,4543.1078
2026-09-01T02:08:32.866018+07:00,1788203312.866,G1TU6,0.93,4446.9,21.72,4355.5299,4392.6928,4412.2246,4425.7076,4438.4219,4451.502,4464.5048,4478.3887,4498.9045,4540.3969
2026-09-01T02:14:24.537202+07:00,1788203664.537,G1TU6,0.93,4445.2,21.66,4358.4601,4395.761,4415.3067,4428.7536,4441.4318,4454.479,4467.4178,4481.1732,4501.5335,4543.0523
2026-09-01T02:19:58.590882+07:00,1788203998.591,G1TU6,0.92,4449.4,21.66,4359.9136,4396.8678,4416.2991,4429.7033,4442.3466,4455.3614,4468.2827,4482.0257,4502.3043,4543.4896
2026-09-01T02:25:36.545980+07:00,1788204336.546,G1TU6,0.92,4448.1,21.62,4359.7665,4397.0981,4416.4218,4429.7211,4442.3237,4455.3004,4468.1653,4481.8751,4502.128,4542.9638
2026-09-01T02:31:54.785003+07:00,1788204714.785,G1TU6,0.91,4447.5,21.7,4365.6387,4402.1487,4421.2389,4434.4991,4447.0862,4460.048,4472.9376,4486.7164,4506.946,4547.2703
2026-09-01T02:36:51.566625+07:00,1788205011.567,G1TU6,0.91,4453.4,21.75,4367.6365,4403.5954,4422.5107,4435.7205,4448.2883,4461.249,4474.1616,4487.9686,4508.1612,4548.2523
2026-09-01T02:41:21.889564+07:00,1788205281.89,G1TU6,0.91,4454.3,21.75,4367.6365,4403.5954,4422.5107,4435.7205,4448.2883,4461.249,4474.1616,4487.9686,4508.1612,4548.2523
2026-09-01T02:46:00.729231+07:00,1788205560.729,G1TU6,0.9,4456.8,21.66,4368.7294,4404.9752,4423.9403,4437.0928,4449.5999,4462.523,4475.3855,4489.1117,4509.3372,4550.0924
2026-09-01T02:52:19.816947+07:00,1788205939.817,G1TU6,0.9,4453.9,21.79,4372.6609,4408.5324,4427.581,4440.8355,4453.3825,4466.3218,4479.1923,4492.8674,4512.9194,4553.4548
2026-09-01T02:57:31.375172+07:00,1788206251.375,G1TU6,0.9,4459.9,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:03:13.759373+07:00,1788206593.759,G1TU6,0.89,4464.0,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:08:50.943755+07:00,1788206930.944,G1TU6,0.89,4466.6,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:15:10.661846+07:00,1788207310.662,G1TU6,0.88,4467.0,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:20:35.383051+07:00,1788207635.383,G1TU6,0.88,4466.3,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:25:26.843148+07:00,1788207926.843,G1TU6,0.88,4464.4,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:31:27.071159+07:00,1788208287.071,G1TU6,0.87,4461.6,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:36:40.779755+07:00,1788208600.78,G1TU6,0.87,4461.8,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:41:11.011426+07:00,1788208871.011,G1TU6,0.87,4461.7,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:47:40.351637+07:00,1788209260.352,G1TU6,0.86,4463.3,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:53:53.559221+07:00,1788209633.559,G1TU6,0.86,4462.1,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T03:59:25.465942+07:00,1788209965.466,G1TU6,0.85,4461.9,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T05:00:40.199989+07:00,1788213640.2,G1TU6,0.81,4462.4,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T05:13:07.360596+07:00,1788214387.361,G1TU6,0.8,4462.4,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
2026-09-01T05:29:08.972563+07:00,1788215348.973,G1TU6,0.79,4462.4,22.06,4377.1742,4412.392,4431.2135,4444.4484,4457.0759,4470.15,4483.1861,4497.0289,4517.2006,4557.7306
