captured_at,captured_at_epoch,contract,dte,future,iv_pct,5DP,15DP,25DP,35DP,45DP,45DC,35DC,25DC,15DC,5DC
2026-09-03T01:03:50.384373+07:00,1788372230.384,G1RU6,0.98,4388.9,25.56,4280.7509,4327.2066,4350.6249,4366.5877,4381.7282,4397.3072,4412.8399,4429.7733,4455.2131,4505.7021
2026-09-03T01:08:40.805763+07:00,1788372520.806,G1RU6,0.97,4388.8,25.54,4277.9383,4323.4884,4346.7169,4362.622,4377.6965,4393.2196,4408.7121,4425.5554,4450.7731,4500.9768
2026-09-03T01:13:21.052211+07:00,1788372801.052,G1RU6,0.97,4386.1,25.3,4279.9126,4325.9909,4349.1893,4364.9686,4379.9181,4395.2951,4410.6229,4427.3454,4452.5388,4502.6805
